Unnamed: 0,date,timestamp,cmdb_id,kpi_name,value,beijing_time
164697,2021-07-04,1625343781.0,0.0.0.4.mobservice2,docker_cpu_core_4_pct,0.0,2021-07-04 04:23:01
347706,2021-07-04,1625343781.0,0.0.0.4.dbservice1,docker_cpu_core_4_pct,0.0,2021-07-04 04:23:01
46065,2021-07-04,1625343790.0,0.0.0.1.mobservice1,docker_cpu_core_4_pct,0.0,2021-07-04 04:23:10
381118,2021-07-04,1625343790.0,0.0.0.1.redisservice1,docker_cpu_core_4_pct,0.7556943448615384,2021-07-04 04:23:10
198109,2021-07-04,1625343790.0,0.0.0.1.webservice1,docker_cpu_core_4_pct,0.002273325912183,2021-07-04 04:23:10
644666,2021-07-04,1625343805.0,0.0.0.3.webservice2,docker_cpu_core_4_pct,0.9966155663003664,2021-07-04 04:23:25
527469,2021-07-04,1625343805.0,0.0.0.3.logservice1,docker_cpu_core_4_pct,0.0,2021-07-04 04:23:25
347707,2021-07-04,1625343811.0,0.0.0.4.dbservice1,docker_cpu_core_4_pct,0.0,2021-07-04 04:23:31
164698,2021-07-04,1625343811.0,0.0.0.4.mobservice2,docker_cpu_core_4_pct,0.0,2021-07-04 04:23:31
46066,2021-07-04,1625343820.0,0.0.0.1.mobservice1,docker_cpu_core_4_pct,0.0,2021-07-04 04:23:40
381119,2021-07-04,1625343820.0,0.0.0.1.redisservice1,docker_cpu_core_4_pct,0.9919655995095034,2021-07-04 04:23:40
198110,2021-07-04,1625343820.0,0.0.0.1.webservice1,docker_cpu_core_4_pct,0.0,2021-07-04 04:23:40
644667,2021-07-04,1625343835.0,0.0.0.3.webservice2,docker_cpu_core_4_pct,0.9975813865361076,2021-07-04 04:23:55
527470,2021-07-04,1625343835.0,0.0.0.3.logservice1,docker_cpu_core_4_pct,0.0,2021-07-04 04:23:55
164699,2021-07-04,1625343841.0,0.0.0.4.mobservice2,docker_cpu_core_4_pct,0.0,2021-07-04 04:24:01
347708,2021-07-04,1625343841.0,0.0.0.4.dbservice1,docker_cpu_core_4_pct,0.0,2021-07-04 04:24:01
198111,2021-07-04,1625343850.0,0.0.0.1.webservice1,docker_cpu_core_4_pct,0.002126405893186,2021-07-04 04:24:10
46067,2021-07-04,1625343850.0,0.0.0.1.mobservice1,docker_cpu_core_4_pct,0.0,2021-07-04 04:24:10
381120,2021-07-04,1625343850.0,0.0.0.1.redisservice1,docker_cpu_core_4_pct,0.7719121388753056,2021-07-04 04:24:10
527471,2021-07-04,1625343865.0,0.0.0.3.logservice1,docker_cpu_core_4_pct,0.0,2021-07-04 04:24:25
644668,2021-07-04,1625343865.0,0.0.0.3.webservice2,docker_cpu_core_4_pct,0.98977688183509,2021-07-04 04:24:25
347709,2021-07-04,1625343871.0,0.0.0.4.dbservice1,docker_cpu_core_4_pct,0.0,2021-07-04 04:24:31
164700,2021-07-04,1625343871.0,0.0.0.4.mobservice2,docker_cpu_core_4_pct,0.0,2021-07-04 04:24:31
381121,2021-07-04,1625343880.0,0.0.0.1.redisservice1,docker_cpu_core_4_pct,0.8265033802955665,2021-07-04 04:24:40
46068,2021-07-04,1625343880.0,0.0.0.1.mobservice1,docker_cpu_core_4_pct,0.0,2021-07-04 04:24:40
198112,2021-07-04,1625343880.0,0.0.0.1.webservice1,docker_cpu_core_4_pct,0.0,2021-07-04 04:24:40
644669,2021-07-04,1625343895.0,0.0.0.3.webservice2,docker_cpu_core_4_pct,1.000038372632865,2021-07-04 04:24:55
527472,2021-07-04,1625343895.0,0.0.0.3.logservice1,docker_cpu_core_4_pct,0.0,2021-07-04 04:24:55
347710,2021-07-04,1625343901.0,0.0.0.4.dbservice1,docker_cpu_core_4_pct,0.0,2021-07-04 04:25:01
164701,2021-07-04,1625343901.0,0.0.0.4.mobservice2,docker_cpu_core_4_pct,0.0,2021-07-04 04:25:01
198113,2021-07-04,1625343910.0,0.0.0.1.webservice1,docker_cpu_core_4_pct,0.0,2021-07-04 04:25:10
46069,2021-07-04,1625343910.0,0.0.0.1.mobservice1,docker_cpu_core_4_pct,0.0,2021-07-04 04:25:10
381122,2021-07-04,1625343910.0,0.0.0.1.redisservice1,docker_cpu_core_4_pct,0.9985050738650306,2021-07-04 04:25:10
527473,2021-07-04,1625343925.0,0.0.0.3.logservice1,docker_cpu_core_4_pct,0.0,2021-07-04 04:25:25
644670,2021-07-04,1625343925.0,0.0.0.3.webservice2,docker_cpu_core_4_pct,1.0035009886419752,2021-07-04 04:25:25
