TimeStamp,Target,CpuAverageLoad,CpuUsageRate(%),CpuUserUsageTime(%)
1718899208,onlineapp109,0.38,0.16,0.8
1718899268,onlineapp109,0.44,3.37,1.2
1718899328,onlineapp109,0.42,0.26,0.8
1718899388,onlineapp109,0.6,0.16,0.8
1718899448,onlineapp109,0.48,0.18,0.8
1718899508,onlineapp109,0.41,0.21,0.8
1718899568,onlineapp109,0.6,3.23,1.4
1718899628,onlineapp109,0.46,1.25,1.1
1718899688,onlineapp109,0.46,0.23,0.9
1718899748,onlineapp109,0.4,0.19,0.8
1718899808,onlineapp109,0.58,0.23,0.9
1718899868,onlineapp109,0.57,3.41,1.2
1718899928,onlineapp109,0.59,99.31,30
1718899991,onlineapp109,63.24,100,98.4
1718900050,onlineapp109,86.19,99.19,98.5
1718900110,onlineapp109,94.09,95.79,98.2
1718900170,onlineapp109,98.99,98.98,98.1
1718900229,onlineapp109,96.59,99.91,97.5
1718900289,onlineapp109,96.37,100,97.3
1718900350,onlineapp109,97.63,100,98.1
1718900410,onlineapp109,101.47,100,98
1718900471,onlineapp109,102.3,100,98
1718900529,onlineapp109,106.91,98.86,96.6
1718900590,onlineapp109,103.4,99.88,98.2
1718900650,onlineapp109,100.19,99.9,98.4
1718900712,onlineapp109,101.08,99.99,98.7
1718900771,onlineapp109,97.31,99.98,98
1718900830,onlineapp109,101.87,100,97.9
1718900889,onlineapp109,100.21,99.91,97.8
1718900950,onlineapp109,98.88,100,98.7
1718901010,onlineapp109,96.71,99.96,98
1718901071,onlineapp109,103.05,99.45,98.2
1718901130,onlineapp109,99.02,100,98.3
1718901190,onlineapp109,101.95,99.98,98.2
1718901250,onlineapp109,101.42,99.44,98.5
1718901309,onlineapp109,95.91,99.81,98.1
1718901370,onlineapp109,96.76,99.79,97.7
1718901430,onlineapp109,97.13,99.8,97.3
1718901490 ,onlineapp109,101.13,100,97.9
1718901550 ,onlineapp109,97.7,100,98.1
1718901610 ,onlineapp109,99.33,98.82,97.3
1718901670 ,onlineapp109,99.28,99.98,97.9
1718901729 ,onlineapp109,108.31,100,97
1718901790 ,onlineapp109,101.37,100,98.4
1718901851 ,onlineapp109,102.24,98.56,97.5
1718901910 ,onlineapp109,102.8,99.94,98
1718901971 ,onlineapp109,100.53,100,98
1718902030 ,onlineapp109,99.63,100,98.4
1718902090 ,onlineapp109,96.13,100,98.4
1718902151 ,onlineapp109,96.69,100,98.2
1718902209 ,onlineapp109,97.8,99.19,96.6
1718902271 ,onlineapp109,102.45,99.98,98
1718902329 ,onlineapp109,99.64,99.94,98
1718902389 ,onlineapp109,101.31,100,97.2
1718902450 ,onlineapp109,98.48,99.96,98.3
1718902510 ,onlineapp109,101.01,100,97.6
1718902571 ,onlineapp109,101.08,100,97.5
1718902630 ,onlineapp109,99.69,99.98,97.5
1718902690 ,onlineapp109,100.54,100,98
1718902750 ,onlineapp109,100.7,100,97.5
1718902810 ,onlineapp109,99.2,99.39,97.4
1718902871 ,onlineapp109,100.94,99.4,97.1
1718902930 ,onlineapp109,98.18,98.53,97.9
1718902990 ,onlineapp109,101.09,99.24,97.5
1718903050 ,onlineapp109,100.98,98.9,98.3
1718903110 ,onlineapp109,95.99,99.42,98.3
1718903171 ,onlineapp109,94.16,99.2,97.8
1718903230 ,onlineapp109,96.93,100,97.1
1718903290 ,onlineapp109,101.83,99.86,98
1718903350 ,onlineapp109,101.73,99.99,98
1718903411 ,onlineapp109,99.03,99.7,98.8
1718903471 ,onlineapp109,102.84,100,97.8
1718903530 ,onlineapp109,105.4,99.99,97.8
1718903591 ,onlineapp109,104.08,100,98.4
1718903650 ,onlineapp109,104.96,99.19,98.2
1718903710 ,onlineapp109,101.69,100,98.5
1718903771 ,onlineapp110,102.16,100,97.9
1718903830 ,onlineapp111,99.02,100,98.3
1718903891 ,onlineapp112,106.39,99.86,97.9
1718903950 ,onlineapp113,104.4,99.63,98.2
1718904010 ,onlineapp114,100.16,100,98
1718904072 ,onlineapp115,95.68,100,98
1718904130 ,onlineapp116,100.88,99.98,98
1718904189 ,onlineapp117,104.49,99.61,97.8
1718904249 ,onlineapp118,99.87,100,97.8
1718904310 ,onlineapp119,95.85,98.81,97.9
1718904371 ,onlineapp120,106.37,99.71,98
