TimeStamp,Target,CpuAverageLoad,CpuUsageRate(%),CpuUserUsageTime(%),AverageCpuUsagePerCore(%)
1716220811,app01,1.87,0.49,1.4,0.01
1716220871,app01,1.32,0.53,1.5,0.01
1716220931,app01,1.16,0.31,1.6,0
1716220992,app01,1.38,4.61,2.5,0.06
1716221051,app01,1.17,0.44,1.4,0.01
1716221111,app01,1.06,0.48,1.4,0.01
1716221171,app01,1.03,0.33,1.6,0
1716221231,app01,1.22,0.74,1.5,0.01
1716221293,app01,1.25,4.43,2.4,0.06
1716221351,app01,1.45,0.49,1.4,0.01
1716221411,app01,1.28,0.7,1.9,0.01
1716221471,app01,0.86,0.39,1.4,0
1716221531,app01,2.42,7.57,6.8,0.09
1716221592,app01,2.03,4.59,2.3,0.06
1716221651,app01,2.06,9.39,1.9,0.12
1716221711,app01,5.85,0.35,1.6,0
1716221771,app01,2.92,0.58,1.5,0.01
1716221831,app01,2.23,0.96,1.7,0.01
1716221893,app01,1.81,4.41,2.3,0.06
1716221951,app01,1.25,0.49,2.2,0.01
1716222011,app01,1.3,0.39,1.5,0
1716222071,app01,1.37,0.28,1.4,0
1716222131,app01,1.66,0.31,1.4,0
1716222192,app01,1.02,4.42,2.2,0.06
1716222251,app01,1.35,0.56,1.3,0.01
1716222312,app01,1.3,0.38,1.3,0
1716222372,app01,0.89,0.73,1.4,0.01
1716222432,app01,1.63,1.03,2.3,0.01
1716222494,app01,1.51,4.71,2.2,0.06
1716222552,app01,0.95,0.34,1.9,0
1716222612,app01,1.36,0.46,1.6,0.01
1716222672,app01,47.97,84.62,85.6,1.06
1716222732,app01,68.82,86.56,85.6,1.08
1716222793,app01,77.74,88.49,86.2,1.11
1716222852,app01,78.33,86.51,86.3,1.08
1716222912,app01,78.8,86.76,88.3,1.08
1716222972,app01,80.51,87.39,88,1.09
1716223032,app01,83.52,86.16,86.5,1.08
1716223094,app01,80.4,88.73,87.9,1.11
1716223152,app01,77.41,86.91,86.6,1.09
1716223212,app01,76.48,86.98,86.7,1.09
1716223271,app01,33.54,0.35,1.5,0
1716223331,app01,13.06,0.4,1.4,0.01
1716223392,app01,5.16,4.53,2,0.06
1716223451,app01,2.93,0.29,1.4,0
1716223511,app01,1.66,0.38,1.4,0
1716223571,app01,1.45,0.39,1.4,0
1716223631,app01,1.8,0.28,1.4,0
1716223693,app01,1.67,4.56,2.3,0.06
1716223751,app01,1.42,0.38,1.4,0
1716223811,app01,1.04,0.38,1.4,0
1716223871,app01,1.33,0.3,1.3,0
1716223931,app01,1.23,0.33,1.4,0
1716223992,app01,1.02,4.45,2.1,0.06
1716224051,app01,0.84,0.39,1.4,0
1716224111,app01,1.02,0.29,1.4,0
1716224171,app01,1.24,0.31,1.4,0
1716224231,app01,0.99,1.49,2,0.02
1716224293,app01,1.42,4.63,2,0.06
1716224351,app01,1.02,0.38,1.4,0
