TimeStamp,PodName,CpuUsageRate(%),MemoryUsageRate(%),SyscallRead,SyscallWrite,NetworkReceiveBytes,NetworkTransmitBytes,PodClientLatencyP90(s),PodServerLatencyP90(s),PodClientLatencyP95(s),PodServerLatencyP95(s),PodClientLatencyP99(s),PodServerLatencyP99(s),PodWorkload(Ops),PodSuccessRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%),NodeNetworkReceiveBytes
1674991029,ts-basic-service,3.362610253026251,20.2796875,0.0,0.0,9108.101084908723,94752.41993113753,0.0475,0.445,0.172,0.4724999999999999,0.2343999999999999,0.4945,1.0,0,12.622207430151231,42.44891487173983,82773.8
1674991089,ts-basic-service,1.9141137040748224,20.318359375,0.0,0.0,8676.726433516777,78614.0600035505,0.0866666666666667,0.5,0.2199999999999998,0.75,0.4399999999999999,0.9499999999999996,0.8,0,23.539497344357606,42.39649109539834,6552272.5
1674991149,ts-basic-service,2.939784655841829,20.316210937500003,0.0,0.0,13449.9429549344,97459.4266970907,0.02305,0.086875,0.0364285714285714,0.0934375,18.399999999999977,0.0986875,0.9333333333333332,0,23.416985208730377,42.16874406146437,140705.4
1674991209,ts-basic-service,1.9625179921090408,20.328125,0.0,0.0,9564.397424103036,86675.91010645288,0.0395,0.3875000000000002,0.3062500000000003,0.44375,19.79999999999996,0.48875,0.7333333333333334,0,25.52431579364553,41.98373618814013,101175.96666666666
1674991269,ts-basic-service,1.6427429912059852,20.337109375,0.0,0.0,9655.378704720088,137131.77826564215,0.0366666666666667,0.4,0.3000000000000006,0.4499999999999999,43.2,0.49,0.6666666666666666,0,12.823925793243085,42.32828407880886,110852.9
1674991329,ts-basic-service,1.7350416458749234,20.3017578125,0.0,0.0,8522.505578578259,82570.70449474019,0.1599999999999999,0.45,17.999999999999893,0.4749999999999999,50.40000000000003,0.495,0.1333333333333333,0,12.589972955813831,42.4641614330304,112399.83333333331
1674991029,ts-config-service,0.4625573783360484,21.4978515625,0.0,0.0,3151.894105601872,34645.67792891619,0.07,0.0046,0.0849999999999999,0.0048,0.097,0.00496,1.6666666666666667,0,2.6514515858332754,37.27915965833066,22415.866666666665
1674991089,ts-config-service,0.6433118979939912,21.5365234375,0.0,0.0,3797.4881239018673,33324.721806468406,0.0175,0.0046,0.02125,0.0048,0.0242499999999999,0.00496,1.0666666666666669,0,2.954859801330423,37.246763764900464,26909.13333333333
1674991149,ts-config-service,0.6465076993133927,21.4970703125,0.0,0.0,2726.746166950596,40830.9199318569,0.035,0.0046878048780487,0.0424999999999999,0.0048926829268292,0.0485,0.1869999999999997,2.6666666666666665,0,2.8187919463069533,37.25961966538067,26726.866666666665
1674991209,ts-config-service,0.7846020515280191,21.48671875,0.0,0.0,4973.360806534697,40378.90941202443,0.35,0.0046,0.4249999999999999,0.0048,0.485,0.0049599999999999,2.6666666666666665,0,2.9327970504476,37.25005702213922,27769.366666666665
1674991269,ts-config-service,0.7670926121077216,21.48671875,0.0,0.0,4420.864364041518,56057.76109775406,0.035,0.0046,0.0424999999999999,0.0048,0.0485,0.00496,1.0666666666666669,0,3.0557069203893894,37.222881551294925,27937.4
1674991329,ts-config-service,1.3748554764597378,21.5056640625,0.0,0.0,4366.634933079465,31195.44156353251,16.999999999999996,0.0046,23.5,0.0048,28.699999999999992,0.0049599999999999,0.8,0,2.989643171624345,37.2218569823762,27369.0
1674991029,ts-contacts-service,0.8824793126762907,22.541015625,78.0,56.0,1811.7945635477192,40849.06164429306,0.0046,0.0235,0.0047999999999999,0.02425,0.00496,0.02485,0.1333333333333333,0,5.77866080507431,35.98995922459648,91322.56666666668
1674991089,ts-contacts-service,1.407174698795321,22.552734375,228.0,288.0,2789.0858725761773,67090.30470914127,0.016,0.023,0.0204999999999999,0.024,0.0241,0.0248,0.1333333333333333,0,11.464696082896154,35.60518480661872,3481079.4
1674991149,ts-contacts-service,1.0678765988956138,22.54609375,132.0,148.0,1906.396255850234,1775.4290171606865,0.0145,0.022,0.0197499999999999,0.0235,0.0239499999999999,0.0247,0.3999200159968006,0,6.168872351980637,34.501650897656546,93987.5
1674991209,ts-contacts-service,0.6606837249999842,22.5287109375,268.0,366.0,3403.3224867271792,53909.74481931837,0.0046,0.022,0.0048,0.0235,0.00496,0.0247,0.4,0,7.2675650477012415,34.473206912912865,949781.1666666666
1674991269,ts-contacts-service,2.878323128648412,22.5466796875,160.0,188.0,2674.83476742736,39464.70881656067,0.035,0.08,0.0424999999999999,0.0899999999999999,0.0485,0.098,0.1333333333333333,0,5.432714666424521,34.80292294875814,122047.83333333331
1674991329,ts-contacts-service,1.3081999271269886,22.541796875,176.0,222.0,2149.7611865258923,38956.133735545496,0.0046,,0.0047999999999999,,0.00496,,0.0,0,5.656471780998751,34.815534904257696,104496.83333333331
1674991029,ts-execute-service,0.2828716426025764,20.96171875,0.0,0.0,1643.76187460418,42004.96094574625,0.00875,0.0235,0.009375,0.02425,0.009875,0.02485,0.0666666666666666,0,2.6514515858332754,37.27915965833066,22415.866666666665
1674991089,ts-execute-service,1.2764334388339271,20.9681640625,0.0,0.0,2073.7446521053816,34507.82481423103,0.05,0.095,20.0,0.0975,27.999999999999982,0.0995,0.0666666666666666,0,2.954859801330423,37.246763764900464,26909.13333333333
1674991149,ts-execute-service,0.490814967644175,20.929296875,0.0,0.0,1590.9018355945732,47557.14285714286,0.0325,0.0235,0.0412499999999999,0.02425,0.04825,0.02485,0.1333333333333333,0,2.8187919463069533,37.25961966538067,26726.866666666665
1674991209,ts-execute-service,0.4822802598505781,20.9169921875,0.0,0.0,1319.295229909755,32016.65234207134,0.0044,,0.0046999999999999,,0.0049399999999999,,0.0,0,2.9327970504476,37.25005702213922,27769.366666666665
1674991269,ts-execute-service,0.2131004693814575,20.9169921875,0.0,0.0,1385.2036751819005,32149.07854904668,0.0234999999999999,0.0425,0.0362499999999999,0.04625,0.04725,0.04925,0.2,0,3.0557069203893894,37.222881551294925,27937.4
1674991329,ts-execute-service,0.8604759139534701,20.9064453125,0.0,0.0,1798.0799332150684,31879.421892935407,0.00875,0.0235,0.009375,0.02425,0.009875,0.02485,0.0666666666666666,0,2.989643171624345,37.2218569823762,27369.0
1674991029,ts-food-service,0.7846979034838167,25.2076171875,0.0,0.0,2444.4741057127603,60112.92044847838,19.0,,24.49999999999999,,28.9,,0.0,0,2.9256212222870226,50.62985312818882,38899.03333333333
1674991089,ts-food-service,0.4685095764319305,25.2205078125,0.0,0.0,2144.304713652402,80788.65466389214,0.00045,,0.000475,,0.000495,,0.0666666666666666,0,2.889420855908331,50.611728033812696,68722.43333333333
1674991150,ts-food-service,0.4669796612703091,25.2205078125,0.0,0.0,4242.043732409613,51910.04546438623,0.024,0.07,38.99999999999996,0.0849999999999999,55.80000000000001,0.097,0.4666666666666667,0,3.344243034589756,50.614606581775526,156369.7
1674991209,ts-food-service,0.7486879549999514,25.226953125,0.0,0.0,2740.331491712707,54809.93274081191,0.04125,0.085,13.000000000000004,0.0925,26.599999999999973,0.0985,0.2,0,3.079314400954647,50.61853409213158,55843.43333333333
1674991269,ts-food-service,1.041406936835963,25.226953125,0.0,0.0,2499.497368576666,54183.430902962566,0.01975,0.095,0.0223749999999999,0.0975,0.024475,0.0995,0.0,0,3.064780217490881,50.62699897470024,60467.76666666667
1674991330,ts-food-service,1.2131986324988586,25.2267578125,0.0,0.0,4858.381971465629,76254.21530479896,0.0375,0.09,14.999999999999984,0.095,27.0,0.099,0.1333333333333333,0,2.67909632988671,50.64478254643671,36698.1
1674991029,ts-gateway-service,7.541565353214602,29.5228515625,2566.0,2112.0,59578.87340437991,195524.3002693524,0.7000000000000001,0.6749999999999999,0.8499999999999998,0.8375,0.97,0.9674999999999998,1.6,0,5.77866080507431,35.98995922459648,91322.56666666668
