TimeStamp,Target,CpuAverageLoad,CpuUsageRate(%),CpuUserUsageTime(%),AverageCpuUsagePerCore(%)
1716220812,app02,1.32,0.26,0.7,0
1716220872,app02,1.36,0.26,0.7,0
1716220932,app02,1.38,0.25,0.7,0
1716220994,app02,1.18,0.55,0.8,0.01
1716221052,app02,1.33,0.5,0.7,0.01
1716221112,app02,1.26,0.48,0.8,0.01
1716221172,app02,1.53,0.29,1.4,0
1716221232,app02,1.7,0.31,0.8,0
1716221294,app02,1.36,0.43,0.5,0.01
1716221352,app02,1.26,0.21,0.7,0
1716221412,app02,1.62,0.6,1.2,0.01
1716221472,app02,1.59,0.2,0.7,0
1716221532,app02,5.27,5.67,3.7,0.07
1716221594,app02,2.84,0.7,0.4,0.01
1716221652,app02,1.94,1.95,5.4,0.02
1716221712,app02,3.03,0.26,0.7,0
1716221772,app02,1.81,0.35,0.8,0
1716221832,app02,1.75,0.31,1.3,0
1716221894,app02,1.18,0.55,0.5,0.01
1716221952,app02,1.12,0.21,0.7,0
1716222012,app02,1.09,0.38,0.6,0
1716222072,app02,1.05,0.3,0.6,0
1716222132,app02,1.27,0.38,0.7,0
1716222194,app02,1,0.28,0.5,0
1716222252,app02,1.35,0.25,0.7,0
1716222312,app02,1.18,0.3,0.7,0
1716222372,app02,1.29,0.24,0.7,0
1716222432,app02,1.21,0.8,0.7,0.01
1716222494,app02,1.12,0.61,0.6,0.01
1716222552,app02,1.34,0.31,0.9,0
1716222612,app02,1.55,0.33,0.7,0
1716222673,app02,47.88,87.91,86.3,1.1
1716222733,app02,68.28,86.8,85.1,1.08
1716222796,app02,76.69,87.76,85.1,1.1
1716222853,app02,81.91,86.8,86.9,1.08
1716222912,app02,85.87,87.31,86.6,1.09
1716222973,app02,88.73,86.91,86.2,1.09
1716223032,app02,85.16,87.66,86.4,1.1
1716223096,app02,82.24,87.68,85.1,1.1
1716223152,app02,85.39,87.78,87.1,1.1
1716223212,app02,78.88,86.8,85.9,1.08
1716223271,app02,37.08,0.25,0.7,0
1716223331,app02,13.97,0.26,0.7,0
1716223394,app02,5.45,0.23,0.4,0
1716223451,app02,2.46,0.39,0.7,0
1716223511,app02,1.29,0.4,0.7,0.01
1716223571,app02,0.89,0.36,0.8,0
1716223632,app02,1.29,0.33,1,0
1716223694,app02,1.58,0.28,0.5,0
1716223751,app02,0.96,0.35,0.6,0
1716223811,app02,0.64,0.56,0.7,0.01
1716223871,app02,0.54,0.4,0.7,0.01
1716223931,app02,0.49,0.31,0.8,0
1716223994,app02,0.8,0.54,0.5,0.01
1716224051,app02,0.66,0.4,0.7,0.01
1716224111,app02,0.86,0.41,0.6,0.01
1716224171,app02,0.83,0.25,0.8,0
1716224231,app02,0.82,0.81,1.1,0.01
1716224294,app02,1.28,0.34,0.5,0
1716224351,app02,0.8,0.26,0.7,0
1716224411,app02,0.56,0.25,1.1,0
1716224471,app02,0.51,0.25,0.6,0
1716224531,app02,0.67,0.3,0.7,0
1716224594,app02,0.87,0.21,0.4,0
1716224651,app02,0.52,0.23,0.8,0
1716224711,app02,0.43,0.25,0.6,0
1716224771,app02,0.64,0.25,0.8,0
1716224831,app02,4.67,1.01,1.1,0.01
1716224894,app02,2.31,0.31,0.6,0
1716224951,app02,1.13,0.34,0.7,0
1716225011,app02,0.66,0.29,0.7,0
1716225071,app02,0.43,0.29,0.8,0
1716225131,app02,0.59,0.3,0.7,0
1716225193,app02,0.98,0.34,0.5,0
1716225251,app02,0.5,0.26,0.7,0
1716225311,app02,0.48,0.29,0.7,0
1716225371,app02,0.53,0.34,0.8,0
1716225431,app02,0.66,0.43,0.9,0.01
1716225494,app02,0.87,0.59,0.6,0.01
1716225551,app02,0.52,0.36,0.9,0
1716225611,app02,0.44,0.33,0.7,0
1716225671,app02,0.83,0.48,0.7,0.01
1716225731,app02,0.89,0.41,0.8,0.01
1716225793,app02,1.25,0.34,0.6,0
1716225851,app02,0.88,0.38,0.7,0
1716225911,app02,0.74,0.4,0.7,0.01
1716225971,app02,0.67,0.25,0.7,0
1716226031,app02,0.63,0.38,0.9,0
1716226094,app02,1.2,0.33,0.9,0
1716226151,app02,0.74,0.25,0.7,0
1716226211,app02,0.57,0.71,1.1,0.01
1716226271,app02,0.8,0,0,0
1716226331,app02,0.39,0.01,0,0
1716226392,app02,2.91,38.89,31.7,0.49
1716226451,app02,8.99,0.99,2.9,0.01
1716226512,app02,4.08,2.25,2.2,0.03
1716226572,app02,3.17,3.14,2,0.04
1716226632,app02,1.63,0.31,0.5,0
1716226694,app02,0.97,1.39,1.4,0.02
1716226752,app02,1.42,0.55,1.3,0.01
1716226812,app02,1.69,0.26,0.3,0
1716226872,app02,2.9,8.96,4.1,0.11
1716226932,app02,3.64,3.11,4.4,0.04
1716226994,app02,2.86,0.68,3.4,0.01
1716227052,app02,3.79,5.19,9.1,0.06
1716227112,app02,2.65,2.85,2.4,0.04
1716227172,app02,1.57,0.63,3.6,0.01
