TimeUnixNano,TraceID,SpanID,Log
1674981797121704441,t10,s799,ERROR  c.s.ContactsServiceImpl#37 [findContactsById][contactsRepository.findById][No contacts according to contactsId]
1674981806379473141,t16,s2545,ERROR o.a.c.c.C.[.[.[.[dispatcherServlet]#175 Servlet.service() for servlet [dispatcherServlet] in context with path [] threw exception [Request processing failed; nested exception is java.lang.IllegalStateException: No instances available for ts-food-service] with root cause
1674981805580186212,t16,s1058,ERROR  c.s.ContactsServiceImpl#37 [findContactsById][contactsRepository.findById][No contacts according to contactsId]
1674981805323904755,t21,s1962,"ERROR f.s.FoodServiceImpl#302 [getAllFood][Get the Get Food Request Failed!][foodStoresListResult is null][date: 2021-07-14, tripId: D1345]"
1674981815581629231,t33,s947,"ERROR f.s.FoodServiceImpl#302 [getAllFood][Get the Get Food Request Failed!][foodStoresListResult is null][date: 2021-07-14, tripId: D1345]"
1674981815670031102,t15,s1307,ERROR  c.s.ContactsServiceImpl#37 [findContactsById][contactsRepository.findById][No contacts according to contactsId]
1674981810806499930,t19,s2416,ERROR  c.s.ContactsServiceImpl#37 [findContactsById][contactsRepository.findById][No contacts according to contactsId]
1674981797040232346,t12,s797,ERROR e.s.ExecuteServiceImpl#51 [ticketExecute][getOrderByIdFromOrder][ticket execute error: Order Status Wrong][orderId: e4e9bbd8-997a-4b51-b580-8efd4c107e76]
1674981802665964184,t22,s332,ERROR e.s.ExecuteServiceImpl#69 [ticketExecute][getOrderByIdFromOrderOther][ticket execute error: Order Status Wrong][orderId: f97bab01-f0c3-44d9-b98c-fd20c2faf3c6]
1674981794757769670,t23,s2186,ERROR e.s.ExecuteServiceImpl#51 [ticketExecute][getOrderByIdFromOrder][ticket execute error: Order Status Wrong][orderId: e4e9bbd8-997a-4b51-b580-8efd4c107e76]
1674981813481039501,t9,s991,ERROR e.s.ExecuteServiceImpl#51 [ticketExecute][getOrderByIdFromOrder][ticket execute error: Order Status Wrong][orderId: e4e9bbd8-997a-4b51-b580-8efd4c107e76]
1674981788270998733,t30,s1974,"ERROR f.s.FoodServiceImpl#302 [getAllFood][Get the Get Food Request Failed!][foodStoresListResult is null][date: 2021-07-14, tripId: D1345]"
