TimeStamp,Target,CpuAverageLoad,CpuUsageRate(%),CpuUserUsageTime(%),AverageCpuUsagePerCore(%)
1716220811,10.131.114.4,0.84,0.47,1.4,0.01
1716220871,10.131.114.4,0.66,0.34,1.4,0
1716220931,10.131.114.4,0.55,0.38,1.4,0
1716220991,10.131.114.4,0.57,2.47,2.4,0.03
1716221051,10.131.114.4,0.71,0.34,1.4,0
1716221111,10.131.114.4,0.61,0.38,1.4,0
1716221171,10.131.114.4,0.56,0.39,1.4,0
1716221231,10.131.114.4,0.67,0.33,1.4,0
1716221291,10.131.114.4,0.62,5.2,2.4,0.07
1716221351,10.131.114.4,0.7,0.4,1.4,0.01
1716221411,10.131.114.4,0.6,0.34,1.4,0
1716221471,10.131.114.4,0.43,0.33,1.4,0
1716221531,10.131.114.4,0.49,0.43,1.4,0.01
1716221591,10.131.114.4,3.02,2.43,2.5,0.03
1716221651,10.131.114.4,1.37,0.34,1.4,0
1716221711,10.131.114.4,0.99,0.36,1.4,0
1716221771,10.131.114.4,0.72,0.36,1.4,0
1716221831,10.131.114.4,0.61,0.36,1.4,0
1716221891,10.131.114.4,0.88,5.18,2.4,0.06
1716221951,10.131.114.4,0.83,0.35,1.4,0
1716222011,10.131.114.4,0.88,0.41,1.4,0.01
1716222071,10.131.114.4,0.78,0.35,1.4,0
1716222131,10.131.114.4,0.54,0.35,1.4,0
1716222191,10.131.114.4,0.52,2.18,2.4,0.03
1716222251,10.131.114.4,0.62,0.34,1.4,0
1716222311,10.131.114.4,5.06,0.31,1.5,0
1716222371,10.131.114.4,2.38,0.3,1.4,0
1716222431,10.131.114.4,1.5,0.38,1.4,0
1716222491,10.131.114.4,1.08,4.98,2.4,0.06
1716222551,10.131.114.4,1.19,0.4,1.3,0.01
1716222611,10.131.114.4,7.23,0.29,1.4,0
1716222671,10.131.114.4,3.18,0.35,1.3,0
1716222731,10.131.114.4,1.31,0.35,1.3,0
1716222791,10.131.114.4,0.95,1.87,2.7,0.02
1716222851,10.131.114.4,1.34,0.38,1.4,0
1716222911,10.131.114.4,1.12,0.4,1.5,0.01
1716222971,10.131.114.4,0.87,0.36,1.3,0
1716223031,10.131.114.4,1.29,0.36,1.4,0
1716223091,10.131.114.4,0.98,4.59,2.4,0.06
1716223151,10.131.114.4,1.13,0.39,1.3,0
1716223211,10.131.114.4,1.54,0.39,1.4,0
1716223271,10.131.114.4,12.2,0.45,1.3,0.01
1716223331,10.131.114.4,4.82,0.4,1.3,0.01
1716223391,10.131.114.4,3.07,1.98,2.4,0.02
1716223451,10.131.114.4,1.85,0.4,1.3,0.01
1716223511,10.131.114.4,1.54,0.39,1.3,0
1716223570,10.131.114.4,1.32,0.36,1.4,0
1716223631,10.131.114.4,0.87,0.34,1.4,0
1716223692,10.131.114.4,11.01,92.21,90.3,1.15
1716223751,10.131.114.4,69.49,90.72,90.6,1.13
1716223811,10.131.114.4,90.11,92.44,91.1,1.16
1716223871,10.131.114.4,92.54,92.47,91.9,1.16
1716223931,10.131.114.4,95.09,91.53,91.4,1.14
1716223992,10.131.114.4,93.64,93.27,90.8,1.17
1716224051,10.131.114.4,92.61,91.17,91.1,1.14
1716224111,10.131.114.4,88.12,91.39,90.3,1.14
1716224171,10.131.114.4,83.69,90.2,91.5,1.13
1716224231,10.131.114.4,81.25,90.65,90.9,1.13
1716224292,10.131.114.4,79.54,93.84,90.7,1.17
1716224351,10.131.114.4,78.37,90.89,90.9,1.14
1716224411,10.131.114.4,78.9,90.61,91.5,1.13
1716224471,10.131.114.4,87.19,90.6,91.5,1.13
1716224531,10.131.114.4,82.11,90.7,91.5,1.13
1716224592,10.131.114.4,80.05,95.77,92.8,1.2
1716224651,10.131.114.4,83.21,90.98,91.6,1.14
1716224711,10.131.114.4,81.51,90.74,91.2,1.13
1716224771,10.131.114.4,80.18,90.54,91.1,1.13
1716224831,10.131.114.4,84.38,91.4,91.9,1.14
1716224891,10.131.114.4,74.98,3.79,2.4,0.05
1716224951,10.131.114.4,28.3,0.4,1.3,0.01
1716225011,10.131.114.4,11.11,0.39,1.3,0
1716225071,10.131.114.4,4.94,0.35,1.3,0
1716225131,10.131.114.4,2.42,0.43,1.3,0.01
1716225191,10.131.114.4,5.69,1.75,2.4,0.02
1716225251,10.131.114.4,2.55,0.34,1.3,0
1716225311,10.131.114.4,1.68,0.41,1.3,0.01
1716225371,10.131.114.4,1.34,0.39,1.3,0
1716225431,10.131.114.4,3.37,0.45,1.3,0.01
1716225491,10.131.114.4,1.65,4.42,2.4,0.06
1716225551,10.131.114.4,1.39,0.35,1.3,0
1716225611,10.131.114.4,0.79,0.4,1.3,0.01
1716225671,10.131.114.4,0.89,0.36,1.3,0
1716225731,10.131.114.4,1.35,0.33,1.3,0
1716225791,10.131.114.4,1.04,1.75,2.4,0.02
1716225851,10.131.114.4,0.99,0.43,1.4,0.01
1716225911,10.131.114.4,1.55,0.35,1.3,0
1716225971,10.131.114.4,0.93,0.34,1.3,0
1716226031,10.131.114.4,1.22,0.45,1.3,0.01
1716226091,10.131.114.4,0.91,3.82,2.4,0.05
1716226151,10.131.114.4,1.33,0.36,1.3,0
1716226211,10.131.114.4,0.76,0.33,1.3,0
1716226271,10.131.114.4,1.55,0.38,1.3,0
1716226331,10.131.114.4,1.23,0.31,1.3,0
1716226391,10.131.114.4,1.02,1.84,2.4,0.02
1716226451,10.131.114.4,1.25,0.45,1.3,0.01
1716226511,10.131.114.4,0.78,0.38,1.3,0
1716226571,10.131.114.4,0.82,0.31,1.3,0
1716226631,10.131.114.4,0.98,0.58,1.3,0.01
1716226691,10.131.114.4,0.69,3.74,2.5,0.05
1716226751,10.131.114.4,0.96,0.33,1.3,0
1716226811,10.131.114.4,1.52,0.35,1.3,0
1716226871,10.131.114.4,0.99,0.44,1.3,0.01
1716226931,10.131.114.4,0.75,0.41,1.3,0.01
1716226991,10.131.114.4,1.58,1.81,2.5,0.02
1716227051,10.131.114.4,1.11,0.49,5.5,0.01
1716227111,10.131.114.4,0.84,0.4,1.3,0.01
1716227171,10.131.114.4,0.96,0.33,1.3,0
1716227231,10.131.114.4,1.01,0.4,1.3,0.01
1716227291,10.131.114.4,0.68,4.21,2.4,0.05
1716227351,10.131.114.4,1.07,0.34,1.3,0
1716227411,10.131.114.4,0.86,0.42,1.3,0.01
1716227471,10.131.114.4,0.59,0.5,1.3,0.01
1716227531,10.131.114.4,0.73,0.34,1.3,0
1716227591,10.131.114.4,0.52,1.75,2.4,0.02
1716227651,10.131.114.4,0.8,0.41,1.4,0.01
1716227711,10.131.114.4,8.11,0.35,1.3,0
1716227771,10.131.114.4,3.37,0.38,1.3,0
1716227831,10.131.114.4,1.91,0.35,1.3,0
1716227891,10.131.114.4,1.32,3.78,2.5,0.05
1716227951,10.131.114.4,1.02,0.39,1.3,0
