TimeStamp,Target,CpuAverageLoad,CpuUsageRate(%),CpuUserUsageTime(%),AverageCpuUsagePerCore(%)
1716220813 ,app05,2.65,5.65,3.8,0.07
1716220873 ,app05,2.65,6.09,5.5,0.08
1716220933 ,app05,4.04,4.25,3.8,0.05
1716220995 ,app05,3.57,5.17,5.7,0.06
1716221053 ,app05,3.11,5.85,4.2,0.07
1716221113 ,app05,2.45,3.91,3.2,0.05
1716221173 ,app05,2.23,3.91,4.6,0.05
1716221233 ,app05,4.21,6.65,4.2,0.08
1716221295 ,app05,4.52,4.03,8,0.05
1716221353 ,app05,3.28,3.74,5.2,0.05
1716221413 ,app05,6.06,4.07,3.3,0.05
1716221473 ,app05,3.98,2.51,5.7,0.03
1716221533 ,app05,4.97,11.24,7.1,0.14
1716221595 ,app05,4.39,2.88,5,0.04
1716221653 ,app05,4.35,4.88,6.9,0.06
1716221713 ,app05,4.95,3.8,3.2,0.05
1716221773 ,app05,2.83,3.16,4,0.04
1716221833 ,app05,3.12,4.92,3.7,0.06
1716221895 ,app05,2.31,4.12,5.3,0.05
1716221953 ,app05,2.87,2.86,3.7,0.04
1716222013 ,app05,4.67,4,3.6,0.05
1716222073 ,app05,3.12,1.9,3.1,0.02
1716222133 ,app05,3.37,1.9,4.1,0.02
1716222195 ,app05,3.09,4.33,4.9,0.05
1716222253 ,app05,3.67,4.68,3.3,0.06
1716222313 ,app05,3.03,4.38,2.8,0.05
1716222373 ,app05,8.64,2.95,2.9,0.04
1716222433 ,app05,4.7,3.85,3.7,0.05
1716222495 ,app05,2.85,2.64,4.4,0.03
1716222553 ,app05,1.92,4.35,4.5,0.05
1716222613 ,app05,3.2,4.63,4,0.06
1716222673 ,app05,54.91,86.86,86.7,1.09
1716222734 ,app05,76.33,88.18,85.5,1.1
1716222796 ,app05,83.63,88.4,86.1,1.1
1716222853 ,app05,84.23,86.82,85.6,1.09
1716222913 ,app05,86.17,86.53,85,1.08
1716222973 ,app05,82.79,87.17,86.7,1.09
1716223033 ,app05,92.21,87.9,86.5,1.1
1716223097 ,app05,85.06,89.59,88,1.12
1716223153 ,app05,77.1,87.99,87.1,1.1
1716223213 ,app05,76.77,88.12,86.9,1.1
1716223274 ,app05,33.67,2.39,2.6,0.03
1716223334 ,app05,14.7,3.89,3.1,0.05
1716223396 ,app05,6.8,2.89,3.5,0.04
